学号,性别,所属学院,高等数学,大学英语,Python程序设计,体育测试
STU20244603,男,商学院,99.1,65.1,93.9,76.7
STU20244604,女,文法学院,77.9,84.3,81.1,55.4
STU20244605,男,商学院,83.7,64.6,85.8,75.2
STU20244606,女,文法学院,87.9,72.6,97.2,72.7
STU20244607,女,理学院,61.6,84.3,65.9,65.5
STU20244608,女,机电学院,69.1,73.5,72.7,70.6
STU20244609,女,机电学院,77.0,98.5,77.6,80.6
STU20244610,男,文法学院,78.8,74.6,85.2,80.0
STU20244611,男,文法学院,53.9,79.9,61.4,73.2
STU20244612,男,商学院,60.8,83.5,65.0,67.0
STU20244613,女,理学院,55.7,66.2,64.3,80.3
STU20244614,女,文法学院,69.3,77.4,79.0,71.1
STU20244615,女,机电学院,49.2,80.1,59.9,62.3
STU20244616,女,文法学院,28.3,94.4,38.9,64.1
STU20244617,男,理学院,66.8,58.9,80.0,80.2
STU20244618,女,文法学院,55.4,64.2,58.7,68.8
STU20244619,女,文法学院,59.6,75.2,72.2,60.1
STU20244620,女,机电学院,42.5,94.9,45.0,70.1
STU20244621,男,计算机学院,59.8,78.6,67.1,76.9
STU20244622,女,计算机学院,57.8,87.5,67.3,78.6
STU20244623,女,文法学院,82.2,74.9,86.5,61.2
STU20244624,女,理学院,92.9,70.0,84.4,74.1
STU20244625,男,文法学院,80.4,49.1,88.7,68.0
STU20244626,男,理学院,46.5,62.4,62.9,71.3
STU20244627,男,机电学院,100.0,70.9,93.9,79.5
STU20244628,男,机电学院,67.2,66.7,65.1,71.9
STU20244629,男,计算机学院,49.1,86.2,61.8,73.1
STU20244630,男,商学院,75.8,77.9,75.9,92.1
STU20244631,男,机电学院,85.4,66.2,90.7,68.9
STU20244632,男,理学院,38.8,58.4,47.2,76.6
STU20244633,女,计算机学院,89.1,67.0,93.5,72.4
STU20244634,男,计算机学院,90.7,68.1,93.8,78.0
STU20244635,女,文法学院,46.8,64.2,54.6,71.5
STU20244636,男,文法学院,69.5,65.2,71.7,84.1
STU20244637,男,商学院,54.8,55.4,54.7,66.2
STU20244638,女,商学院,63.3,78.1,71.3,77.8
STU20244639,女,商学院,73.5,66.6,75.4,78.1
STU20244640,女,文法学院,50.3,91.2,65.5,78.2
STU20244641,男,计算机学院,62.1,58.7,75.2,93.8
STU20244642,男,计算机学院,80.2,88.9,79.9,79.7
STU20244643,女,商学院,60.7,69.3,72.7,56.9
STU20244644,男,文法学院,98.3,52.6,97.2,76.2
STU20244645,男,机电学院,67.0,89.4,72.2,82.1
STU20244646,男,理学院,64.8,62.5,75.4,88.0
STU20244647,男,商学院,68.2,71.4,78.7,73.0
STU20244648,女,机电学院,56.0,76.2,67.8,74.1
STU20244649,女,商学院,91.7,100.0,92.9,71.6
STU20244650,女,商学院,84.4,76.3,87.3,63.8
STU20244651,男,商学院,46.1,80.3,57.9,79.2
STU20244652,女,理学院,74.9,81.3,85.3,70.4
STU20244653,女,商学院,80.8,73.2,86.4,74.7
STU20244654,女,商学院,73.6,69.0,84.1,61.2
STU20244655,男,商学院,57.1,60.9,66.4,94.7
STU20244656,女,机电学院,83.2,51.8,79.0,73.4
STU20244657,女,计算机学院,67.2,84.3,77.9,66.0
STU20244658,男,计算机学院,67.2,74.5,76.2,75.5
STU20244659,男,机电学院,53.9,79.7,65.7,63.8
STU20244660,男,机电学院,56.7,86.1,67.8,87.2
STU20244661,男,文法学院,59.6,68.2,57.2,71.4
STU20244662,男,商学院,85.0,71.3,92.4,71.1
STU20244663,男,计算机学院,71.5,66.4,73.0,83.4
STU20244664,女,文法学院,74.6,58.1,83.0,72.7
STU20244665,女,理学院,84.9,57.8,90.0,67.5
STU20244666,男,计算机学院,74.7,71.9,79.0,79.3
STU20244667,男,文法学院,86.9,83.9,82.7,78.1
STU20244668,男,文法学院,46.9,69.6,50.3,83.8
STU20244669,男,文法学院,56.9,86.7,67.0,73.8
STU20244670,女,文法学院,100.0,71.8,100.0,98.9
STU20244671,女,文法学院,58.7,63.2,64.9,68.8
STU20244672,男,机电学院,23.7,80.4,33.9,76.3
STU20244673,男,计算机学院,74.1,68.4,88.0,70.0
STU20244674,男,机电学院,75.7,88.3,69.7,72.4
STU20244675,男,机电学院,65.6,60.3,74.9,88.8
STU20244676,男,理学院,86.4,75.1,83.3,62.5
STU20244677,男,理学院,62.7,85.3,71.7,72.2
STU20244678,女,商学院,88.7,49.2,86.1,68.5
STU20244679,女,文法学院,74.9,69.1,84.9,55.5
STU20244680,男,商学院,93.9,78.5,100.0,83.1
STU20244681,女,机电学院,100.0,49.2,100.0,59.5
STU20244682,男,机电学院,59.5,85.2,63.4,78.9
STU20244683,女,商学院,95.0,94.7,98.1,65.4
STU20244684,女,商学院,87.8,80.9,86.2,64.3
STU20244685,男,计算机学院,58.6,82.3,53.9,92.3
STU20244686,男,商学院,76.0,70.7,82.8,81.5
STU20244687,女,商学院,81.3,67.6,91.4,74.7
STU20244688,男,机电学院,100.0,90.6,100.0,80.6
STU20244689,男,计算机学院,78.1,82.4,87.6,64.7
STU20244690,女,理学院,81.0,57.4,91.8,69.2
STU20244691,男,文法学院,66.0,73.9,67.5,77.6
STU20244692,男,商学院,42.4,80.8,56.8,76.1
STU20244693,女,机电学院,67.3,44.3,68.9,75.6
STU20244694,男,文法学院,59.1,68.8,65.3,89.4
STU20244695,女,理学院,82.7,62.2,87.8,85.2
STU20244696,男,机电学院,85.5,67.1,79.4,85.7
STU20244697,男,理学院,71.1,99.9,77.2,72.0
STU20244698,女,理学院,46.4,81.1,58.9,70.4
STU20244699,女,商学院,55.3,60.1,75.5,78.5
STU20244700,男,理学院,87.2,59.6,85.1,73.9
STU20244701,女,计算机学院,56.6,79.3,67.4,75.9
STU20244702,女,文法学院,54.0,73.1,73.2,70.8
STU20244703,女,理学院,47.1,56.0,48.6,57.8
STU20244704,女,理学院,92.5,81.7,89.4,72.6
STU20244705,女,理学院,55.4,73.2,63.1,62.9
STU20244706,男,机电学院,61.1,62.6,67.8,85.4
STU20244707,男,计算机学院,75.7,83.3,82.8,83.3
STU20244708,男,文法学院,81.7,55.0,90.1,81.7
STU20244709,男,文法学院,58.9,78.7,64.4,83.1
STU20244710,男,计算机学院,66.5,73.3,64.3,84.8
STU20244711,男,文法学院,60.0,95.1,66.8,92.9
STU20244712,男,文法学院,86.4,59.5,95.8,75.6
STU20244713,男,商学院,77.7,81.1,88.3,84.7
STU20244714,男,文法学院,77.6,81.7,86.9,67.8
STU20244715,男,商学院,72.5,71.1,81.3,84.5
STU20244716,男,理学院,52.4,73.8,53.7,65.8
STU20244717,女,理学院,82.7,54.7,82.7,69.5
STU20244718,男,机电学院,67.5,84.0,76.1,77.5
STU20244719,女,机电学院,54.7,58.4,64.4,72.3
STU20244720,女,机电学院,60.3,76.3,69.7,74.8
STU20244721,男,理学院,81.8,71.6,84.5,81.8
STU20244722,男,理学院,56.4,84.5,59.7,76.3
STU20244723,男,商学院,96.8,53.2,100.0,66.7
STU20244724,女,商学院,68.2,75.4,76.3,78.5
STU20244725,男,机电学院,75.3,79.0,83.8,82.3
STU20244726,男,理学院,75.0,80.3,81.5,80.6
STU20244727,女,机电学院,30.4,78.9,34.5,71.2
STU20244728,女,商学院,89.2,55.7,85.6,72.0
STU20244729,男,文法学院,82.5,92.5,89.2,90.4
STU20244730,女,商学院,88.0,74.1,92.8,86.2
STU20244731,女,理学院,63.1,67.6,89.3,71.8
STU20244732,男,机电学院,78.0,81.9,85.0,57.4
STU20244733,女,商学院,56.0,70.0,57.3,73.2
STU20244734,女,机电学院,53.9,67.9,62.5,75.1
STU20244735,男,机电学院,73.3,67.1,78.8,83.4
STU20244736,男,商学院,61.1,49.8,71.2,79.6
STU20244737,男,理学院,62.1,67.6,74.6,85.4
STU20244738,男,文法学院,69.8,66.3,79.1,85.9
STU20244739,男,商学院,62.9,83.2,72.9,67.1
STU20244740,女,商学院,68.2,78.5,77.2,71.0
STU20244741,男,理学院,65.4,72.4,70.2,93.5
STU20244742,女,文法学院,67.7,51.9,84.9,72.7
STU20244743,男,机电学院,92.0,88.6,94.0,82.4
STU20244744,男,计算机学院,92.7,73.8,93.8,80.2
STU20244745,女,计算机学院,60.5,71.5,71.7,86.5
STU20244746,男,机电学院,66.8,56.7,80.6,64.6
STU20244747,女,计算机学院,52.8,63.0,63.5,81.9
STU20244748,男,理学院,76.7,63.2,88.9,81.4
STU20244749,女,机电学院,66.7,81.9,70.6,74.0
STU20244750,男,计算机学院,73.8,74.0,79.5,77.9
STU20244751,男,文法学院,71.9,59.8,86.1,79.9
STU20244752,女,文法学院,59.4,74.9,65.4,65.2
STU20244753,女,理学院,69.5,90.5,76.7,77.1
STU20244754,女,商学院,65.1,64.7,71.8,82.1
STU20244755,男,商学院,67.1,77.2,72.6,83.0
STU20244756,女,理学院,53.1,57.4,66.7,75.1
STU20244757,女,商学院,49.1,58.6,56.4,62.4
STU20244758,男,机电学院,63.3,81.9,73.9,91.5
STU20244759,女,商学院,52.3,57.6,67.3,72.1
STU20244760,男,文法学院,85.0,69.1,90.5,81.5
STU20244761,女,商学院,84.8,55.4,80.9,70.5
STU20244762,男,文法学院,100.0,76.9,100.0,84.2
STU20244763,女,商学院,66.8,71.7,77.4,54.7
STU20244764,女,理学院,91.5,88.4,89.1,66.4
STU20244765,女,文法学院,100.0,74.2,100.0,61.0
STU20244766,男,商学院,67.6,84.9,67.8,80.9
STU20244767,女,商学院,80.3,82.5,88.2,80.9
STU20244768,男,文法学院,75.9,72.2,81.1,86.6
STU20244769,男,文法学院,64.2,78.7,72.7,77.7
STU20244770,女,商学院,64.5,75.3,65.2,68.6
STU20244771,女,计算机学院,89.5,71.3,95.7,66.4
STU20244772,男,理学院,66.3,100.0,75.4,80.4
STU20244773,女,商学院,62.3,80.6,62.2,68.4
STU20244774,男,计算机学院,82.8,75.3,92.3,76.0
STU20244775,女,理学院,100.0,60.4,98.6,58.0
STU20244776,女,机电学院,66.1,78.5,74.3,72.3
STU20244777,男,机电学院,61.7,50.6,67.4,73.1
STU20244778,男,理学院,59.1,73.0,65.0,78.5
STU20244779,男,文法学院,44.6,73.1,49.9,77.8
STU20244780,女,商学院,86.5,47.1,92.8,77.2
STU20244781,男,理学院,58.3,74.5,68.4,64.5
STU20244782,男,文法学院,84.1,97.6,89.5,79.3
STU20244783,女,理学院,81.4,80.4,83.8,72.1
STU20244784,男,机电学院,75.9,63.4,75.6,92.6
STU20244785,男,计算机学院,64.1,86.7,69.3,71.9
STU20244786,女,理学院,73.1,59.1,89.1,61.4
STU20244787,女,机电学院,83.8,65.8,83.9,81.7
STU20244788,女,文法学院,29.5,74.0,38.6,68.6
STU20244789,男,商学院,79.2,68.7,78.1,70.6
STU20244790,女,文法学院,86.7,85.0,95.2,71.2
STU20244791,女,机电学院,64.0,71.2,72.2,76.9
STU20244792,女,文法学院,100.0,71.1,100.0,87.4
STU20244793,女,商学院,63.7,78.8,65.7,55.3
STU20244794,男,理学院,51.9,75.1,64.9,92.1
STU20244795,男,计算机学院,73.9,73.8,68.9,79.4
STU20244796,女,计算机学院,68.1,78.6,77.6,65.2
STU20244797,女,计算机学院,67.5,62.2,73.4,69.6
STU20244798,男,计算机学院,86.9,70.3,94.0,77.1
STU20244799,男,文法学院,77.4,63.5,78.9,83.9
STU20244800,女,商学院,61.5,81.6,69.8,80.0
STU20244801,女,机电学院,87.5,68.3,90.9,66.9
STU20244802,男,机电学院,50.8,62.8,65.9,86.4
STU20244803,女,理学院,73.5,83.9,76.9,72.4
STU20244804,男,理学院,65.5,85.1,67.4,69.5
STU20244805,女,理学院,32.6,77.2,38.9,80.5
STU20244806,男,理学院,58.3,83.9,73.7,72.0
STU20244807,男,文法学院,70.3,80.3,79.2,92.1
STU20244808,男,计算机学院,74.2,72.3,75.7,87.3
STU20244809,女,商学院,80.1,92.7,87.6,69.4
STU20244810,女,计算机学院,66.8,73.8,70.9,67.8
STU20244811,男,理学院,100.0,70.6,100.0,77.3
STU20244812,男,理学院,58.3,71.2,73.6,92.7
STU20244813,女,计算机学院,71.7,88.4,76.2,76.3
STU20244814,女,文法学院,45.8,62.6,55.2,80.4
STU20244815,男,文法学院,75.8,70.7,81.9,82.1
STU20244816,女,机电学院,91.8,66.2,96.9,67.4
STU20244817,男,理学院,70.0,68.3,77.6,74.1
STU20244818,男,商学院,57.6,74.4,74.9,75.0
STU20244819,女,计算机学院,69.9,80.5,80.0,73.5
STU20244820,男,计算机学院,81.8,77.8,79.9,81.8
STU20244821,男,计算机学院,55.6,66.6,74.2,73.9
STU20244822,男,机电学院,44.6,87.5,57.7,80.7
STU20244823,男,理学院,75.9,78.5,76.6,85.8
STU20244824,女,商学院,31.2,97.3,51.0,65.4
STU20244825,男,理学院,51.8,68.8,64.2,63.1
STU20244826,男,商学院,73.7,66.8,77.9,79.0
STU20244827,女,计算机学院,63.3,74.4,69.9,80.2
STU20244828,女,计算机学院,84.0,77.1,82.9,62.4
STU20244829,女,理学院,65.8,76.4,68.8,59.2
STU20244830,男,机电学院,79.4,45.5,82.4,72.0
STU20244831,女,理学院,96.6,72.1,94.5,83.3
STU20244832,男,机电学院,64.9,77.4,57.8,71.1
STU20244833,女,文法学院,61.8,81.6,72.3,81.1
STU20244834,男,计算机学院,59.1,63.4,73.9,79.6
STU20244835,男,文法学院,68.7,74.6,72.3,63.1
STU20244836,女,商学院,50.4,85.0,70.5,81.1
STU20244837,女,商学院,82.6,83.6,83.3,69.1
STU20244838,男,商学院,75.5,77.6,82.3,79.0
STU20244839,男,计算机学院,93.3,66.2,93.2,75.4
STU20244840,男,计算机学院,79.0,70.9,75.1,79.9
STU20244841,男,理学院,64.0,73.8,67.4,89.3
STU20244842,男,计算机学院,55.3,77.3,68.1,82.1
STU20244843,女,文法学院,73.6,62.9,79.6,73.2
STU20244844,女,商学院,72.7,63.5,86.6,59.2
STU20244845,女,商学院,93.8,79.0,100.0,65.6
STU20244846,女,理学院,59.9,76.1,59.5,74.4
STU20244847,男,文法学院,81.7,75.9,87.0,80.9
STU20244848,男,文法学院,60.0,77.4,62.8,92.1
STU20244849,女,文法学院,52.4,59.7,63.4,77.7
STU20244850,男,文法学院,59.5,89.4,69.0,73.2
STU20244851,女,商学院,68.9,83.0,78.2,66.5
STU20244852,女,机电学院,70.2,73.0,68.6,69.7
STU20244853,女,计算机学院,55.0,65.7,55.5,67.0
STU20244854,女,商学院,68.8,70.1,75.3,85.4
STU20244855,男,计算机学院,71.8,100.0,75.5,84.2
STU20244856,女,机电学院,76.7,88.3,89.6,80.7
STU20244857,女,文法学院,77.9,68.3,78.8,73.8
STU20244858,女,理学院,58.9,80.5,68.8,72.4
STU20244859,女,文法学院,74.5,93.9,79.3,81.2
STU20244860,男,机电学院,87.6,63.3,96.4,67.0
STU20244861,女,文法学院,90.2,94.3,90.3,74.3
STU20244862,女,机电学院,68.4,74.8,65.4,75.3
STU20244863,男,计算机学院,96.0,84.3,94.2,84.3
STU20244864,男,文法学院,65.7,75.4,77.5,85.0
STU20244865,女,理学院,62.7,57.1,84.6,80.3
STU20244866,女,理学院,80.6,83.8,85.0,75.0
STU20244867,女,商学院,55.2,62.3,58.0,60.2
STU20244868,男,计算机学院,75.9,75.4,75.4,75.1
STU20244869,女,机电学院,80.2,77.4,88.0,76.5
STU20244870,男,理学院,48.8,78.9,60.8,78.6
STU20244871,女,机电学院,49.6,85.3,59.7,75.2
STU20244872,女,机电学院,61.8,70.0,68.2,71.6
STU20244873,女,理学院,89.9,72.9,92.6,68.3
STU20244874,男,计算机学院,82.1,75.9,87.6,77.4
STU20244875,女,计算机学院,71.8,72.8,67.0,82.9
STU20244876,女,理学院,73.6,93.3,84.8,84.2
STU20244877,男,计算机学院,72.2,92.1,74.3,89.4
STU20244878,男,文法学院,58.9,63.7,63.1,73.4
STU20244879,女,计算机学院,68.4,83.9,76.6,63.3
STU20244880,男,机电学院,86.3,76.3,90.6,77.9
STU20244881,女,商学院,59.0,57.7,57.9,86.3
STU20244882,男,理学院,53.2,85.3,64.3,78.8
STU20244883,女,机电学院,51.8,67.2,58.2,69.3
STU20244884,女,文法学院,81.1,82.3,87.3,79.3
STU20244885,女,文法学院,61.2,63.4,66.7,66.1
STU20244886,女,商学院,80.3,61.1,79.0,74.1
STU20244887,男,理学院,88.2,81.2,92.5,75.4
STU20244888,女,文法学院,84.0,85.9,87.5,72.2
STU20244889,女,计算机学院,63.1,99.1,76.5,51.1
STU20244890,男,理学院,73.5,55.7,81.6,71.6
STU20244891,女,计算机学院,59.5,57.4,68.3,72.9
STU20244892,男,理学院,78.4,65.1,86.9,87.6
STU20244893,男,商学院,90.0,66.9,98.6,79.2
STU20244894,男,计算机学院,67.3,73.1,68.1,80.0
STU20244895,男,文法学院,64.8,77.6,74.6,99.9
STU20244896,男,理学院,64.8,74.9,71.6,78.5
STU20244897,女,计算机学院,65.2,79.6,68.1,57.8
STU20244898,女,商学院,73.9,65.1,78.8,58.5
STU20244899,女,商学院,65.5,79.2,75.7,81.9
STU20244900,男,计算机学院,86.4,83.3,92.5,66.9
STU20244901,女,计算机学院,49.3,81.4,62.0,76.1
STU20244902,男,机电学院,62.7,75.1,70.6,76.4
STU20244903,男,理学院,76.9,76.1,78.6,82.1
STU20244904,男,计算机学院,63.8,78.8,72.0,82.8
STU20244905,男,计算机学院,90.2,76.4,92.7,80.7
STU20244906,女,计算机学院,60.4,86.5,66.7,74.5
STU20244907,女,商学院,65.4,65.4,74.0,75.9
STU20244908,男,文法学院,70.2,89.4,79.4,73.2
STU20244909,女,商学院,74.7,79.5,80.9,74.4
STU20244910,女,文法学院,81.0,100.0,76.2,79.8
STU20244911,女,计算机学院,63.6,88.7,86.4,77.7
STU20244912,男,商学院,93.2,83.3,85.2,90.4
STU20244913,女,机电学院,81.4,72.7,87.2,74.5
STU20244914,男,理学院,59.0,85.7,69.4,83.8
STU20244915,女,商学院,64.3,85.1,67.9,76.9
STU20244916,女,计算机学院,80.7,76.7,82.3,81.2
STU20244917,女,文法学院,63.2,79.4,62.8,66.4
STU20244918,男,理学院,79.0,81.9,90.0,85.6
STU20244919,男,商学院,61.5,71.0,70.2,86.2
STU20244920,女,理学院,41.6,81.2,48.9,63.6
STU20244921,男,计算机学院,72.4,55.4,83.1,82.7
STU20244922,女,理学院,78.4,84.9,83.9,83.8
STU20244923,男,商学院,59.4,61.2,68.6,84.9
STU20244924,男,计算机学院,63.4,57.7,70.5,88.0
STU20244925,女,商学院,54.3,88.9,60.6,73.2
STU20244926,男,计算机学院,57.1,54.6,67.0,82.9
STU20244927,男,理学院,87.2,86.4,88.9,80.4
STU20244928,男,机电学院,75.6,73.2,73.6,61.3
STU20244929,男,商学院,75.3,58.9,75.8,81.6
STU20244930,男,机电学院,63.2,96.6,75.1,69.1
STU20244931,男,理学院,82.3,66.3,77.5,79.1
STU20244932,女,商学院,72.6,66.4,72.9,80.8
STU20244933,女,文法学院,54.9,77.1,61.4,74.6
STU20244934,女,商学院,62.3,79.3,65.2,55.4
STU20244935,女,文法学院,79.5,75.3,88.4,67.0
STU20244936,女,商学院,50.4,77.7,61.6,59.5
STU20244937,男,理学院,45.4,56.2,48.0,75.9
STU20244938,男,文法学院,72.7,64.8,79.8,68.1
STU20244939,女,机电学院,64.0,74.3,71.5,78.4
STU20244940,男,机电学院,67.9,75.2,77.6,96.8
STU20244941,男,商学院,53.1,59.9,67.0,85.3
STU20244942,女,文法学院,58.0,63.6,71.6,82.3
STU20244943,男,机电学院,81.8,82.5,92.2,85.3
STU20244944,女,商学院,82.8,75.3,88.9,65.2
STU20244945,女,文法学院,67.3,82.9,75.2,67.9
STU20244946,女,文法学院,57.1,78.7,65.3,71.0
STU20244947,女,文法学院,64.3,84.7,79.8,63.6
STU20244948,男,商学院,88.3,65.8,82.6,70.6
STU20244949,女,理学院,65.8,91.0,80.6,65.4
STU20244950,女,计算机学院,73.3,79.0,74.0,63.6
STU20244951,女,理学院,59.2,67.4,70.3,75.0
STU20244952,男,文法学院,27.2,79.7,39.0,80.6
STU20244953,男,计算机学院,84.6,70.5,85.0,85.0
STU20244954,男,机电学院,88.5,80.5,86.6,73.9
STU20244955,女,商学院,80.8,68.0,88.6,77.2
STU20244956,男,机电学院,74.2,84.3,81.5,78.4
STU20244957,男,文法学院,77.2,80.2,85.2,84.5
STU20244958,男,商学院,66.4,61.7,72.2,86.9
STU20244959,男,商学院,81.7,50.3,82.3,92.9
STU20244960,男,文法学院,70.0,66.1,77.6,86.2
STU20244961,男,机电学院,80.6,72.6,81.8,71.7
STU20244962,女,商学院,60.2,95.8,78.6,66.9
STU20244963,男,机电学院,69.1,64.5,75.5,77.6
STU20244964,女,机电学院,70.3,75.7,76.0,66.2
STU20244965,女,计算机学院,69.7,77.8,78.9,70.1
STU20244966,男,机电学院,72.6,80.6,80.0,71.3
STU20244967,女,计算机学院,63.5,76.4,69.6,65.0
STU20244968,男,商学院,92.8,59.2,86.4,80.0
STU20244969,女,商学院,91.9,49.4,85.7,65.8
STU20244970,女,计算机学院,58.8,89.7,66.6,67.9
STU20244971,男,计算机学院,61.3,69.5,64.3,73.2
STU20244972,男,计算机学院,51.8,59.3,63.1,72.1
STU20244973,男,计算机学院,91.8,58.9,97.7,75.2
STU20244974,男,文法学院,44.2,80.1,49.2,77.1
STU20244975,男,机电学院,70.6,62.7,76.6,81.1
STU20244976,女,文法学院,35.4,73.0,43.6,69.6
STU20244977,男,文法学院,66.4,51.5,88.4,76.1
STU20244978,男,机电学院,42.6,75.9,54.7,84.1
STU20244979,女,计算机学院,77.4,91.0,80.9,68.0
STU20244980,女,理学院,80.9,51.8,81.8,65.1
STU20244981,男,计算机学院,48.4,69.9,68.7,69.3
STU20244982,女,机电学院,70.1,82.3,77.6,71.6
STU20244983,女,商学院,100.0,73.9,96.6,77.2
STU20244984,女,文法学院,87.5,72.0,77.6,73.8
STU20244985,女,理学院,51.0,63.6,63.6,84.1
STU20244986,女,计算机学院,87.8,91.8,97.2,79.1
STU20244987,女,机电学院,84.3,98.7,83.2,84.8
STU20244988,男,计算机学院,63.7,51.9,74.2,70.7
STU20244989,女,理学院,66.2,100.0,60.9,59.6
STU20244990,女,机电学院,71.8,87.0,74.1,70.2
STU20244991,女,文法学院,50.2,94.3,54.6,47.3
STU20244992,男,机电学院,80.0,51.8,80.9,80.8
STU20244993,女,理学院,67.5,75.4,72.3,78.4
STU20244994,男,理学院,86.0,78.8,89.4,85.6
STU20244995,女,计算机学院,67.3,83.4,70.7,73.9
STU20244996,男,机电学院,68.8,69.0,74.5,79.8
STU20244997,男,理学院,73.3,84.6,81.2,70.0
STU20244998,女,计算机学院,79.2,90.3,75.5,65.0
STU20244999,女,商学院,76.6,91.4,87.9,68.9
STU20245000,女,商学院,63.5,63.3,70.2,81.4
STU20245001,女,机电学院,63.4,81.1,72.8,76.2
STU20245002,男,机电学院,72.5,82.1,79.5,96.6
STU20245003,女,文法学院,71.4,56.9,76.9,80.2
STU20245004,男,文法学院,50.4,90.2,64.7,80.8
STU20245005,女,文法学院,83.4,80.7,90.9,58.6
STU20245006,男,理学院,95.6,79.1,88.3,81.4
STU20245007,男,计算机学院,47.0,86.7,57.9,73.4
STU20245008,男,文法学院,78.4,71.4,75.3,84.1
STU20245009,女,商学院,71.8,69.4,72.7,54.2
STU20245010,男,机电学院,51.0,78.0,59.7,78.9
STU20245011,男,理学院,60.9,96.4,71.2,72.1
STU20245012,女,商学院,44.1,54.0,50.8,79.2
STU20245013,男,文法学院,70.8,72.0,75.4,84.2
STU20245014,女,计算机学院,56.6,81.3,67.8,80.0
STU20245015,女,计算机学院,65.4,64.8,69.9,71.6
STU20245016,女,机电学院,72.5,83.0,78.4,69.2
STU20245017,女,计算机学院,63.2,72.0,62.7,70.8
STU20245018,女,商学院,82.1,87.6,83.9,49.9
STU20245019,男,计算机学院,69.4,83.4,71.4,77.1
STU20245020,男,机电学院,57.1,67.0,72.1,72.0
STU20245021,女,理学院,84.1,70.7,92.6,85.7
STU20245022,女,机电学院,44.3,76.8,56.8,67.2
STU20245023,女,商学院,84.3,77.4,94.9,74.3
STU20245024,女,商学院,44.6,64.9,52.3,73.9
STU20245025,男,商学院,79.8,76.7,80.5,90.3
STU20245026,女,计算机学院,51.2,53.6,59.0,62.6
STU20245027,男,机电学院,61.7,73.6,70.7,83.1
STU20245028,男,文法学院,67.6,98.8,77.4,89.5
STU20245029,男,文法学院,62.2,100.0,68.5,73.8
STU20245030,女,商学院,36.9,77.3,46.2,79.8
STU20245031,男,机电学院,66.0,74.6,75.2,88.0
STU20245032,女,文法学院,59.9,57.7,79.7,69.6
STU20245033,男,机电学院,80.2,99.0,80.8,82.9
STU20245034,男,计算机学院,85.2,81.1,93.7,73.0
STU20245035,女,机电学院,96.9,79.6,99.0,62.7
STU20245036,男,计算机学院,73.6,73.6,77.4,85.2
STU20245037,男,文法学院,56.7,66.7,65.2,81.2
STU20245038,女,理学院,66.4,100.0,77.1,68.8
STU20245039,男,计算机学院,71.0,69.9,71.3,82.0
STU20245040,女,机电学院,66.2,71.5,79.6,66.1
STU20245041,男,商学院,100.0,82.1,100.0,83.2
STU20245042,男,理学院,72.3,84.9,78.0,76.4
STU20245043,男,理学院,56.2,77.2,66.1,95.8
STU20245044,女,计算机学院,64.6,85.6,67.6,82.5
STU20245045,男,理学院,70.8,70.8,72.4,76.6
STU20245046,女,商学院,100.0,74.4,100.0,76.9
STU20245047,男,计算机学院,55.4,51.6,63.5,69.5
STU20245048,男,文法学院,54.4,62.8,67.0,82.5
STU20245049,男,理学院,76.6,82.1,82.2,76.3
STU20245050,女,机电学院,82.4,81.3,85.8,71.8
STU20245051,女,商学院,80.5,77.0,82.6,71.1
STU20245052,女,计算机学院,79.9,71.0,83.7,66.0
STU20245053,男,计算机学院,57.2,84.0,74.9,69.6
STU20245054,女,计算机学院,44.0,92.1,57.7,73.1
STU20245055,女,计算机学院,84.9,81.5,85.6,64.1
STU20245056,男,理学院,52.4,72.8,62.4,82.9
STU20245057,男,文法学院,52.8,90.2,68.6,79.5
STU20245058,女,商学院,73.2,56.1,80.1,61.9
STU20245059,女,文法学院,79.0,73.3,81.4,86.6
STU20245060,男,理学院,83.5,77.8,89.0,83.2
STU20245061,男,理学院,100.0,65.3,100.0,76.1
STU20245062,男,商学院,51.7,91.9,63.6,100.0
STU20245063,女,理学院,90.3,58.7,95.3,80.5
STU20245064,女,文法学院,54.4,84.8,63.6,51.9
STU20245065,男,机电学院,86.8,55.0,90.0,82.0
STU20245066,男,商学院,62.8,64.5,65.3,77.3
STU20245067,女,机电学院,80.3,62.5,84.9,77.1
STU20245068,女,理学院,60.8,60.6,64.5,76.3
STU20245069,女,商学院,61.4,69.0,68.0,69.5
STU20245070,男,理学院,62.3,62.9,69.0,75.3
STU20245071,女,机电学院,82.3,73.7,92.5,69.1
STU20245072,男,文法学院,70.1,72.4,70.2,74.3
STU20245073,男,商学院,47.5,56.6,52.3,69.8
STU20245074,女,商学院,61.3,77.2,63.0,81.0
STU20245075,男,机电学院,64.4,70.9,70.6,95.5
STU20245076,男,机电学院,60.9,87.1,72.2,75.1
STU20245077,男,计算机学院,80.9,74.6,87.2,76.1
STU20245078,男,机电学院,72.2,71.7,73.8,86.5
STU20245079,女,机电学院,100.0,81.5,100.0,89.5
STU20245080,男,商学院,79.4,81.4,82.5,86.4
STU20245081,女,理学院,74.0,66.4,83.1,65.0
STU20245082,男,理学院,76.5,65.2,74.1,88.1
STU20245083,男,商学院,75.7,83.0,84.9,73.5
STU20245084,男,计算机学院,40.5,68.6,49.4,94.3
STU20245085,女,理学院,72.8,100.0,72.5,65.1
STU20245086,女,理学院,80.8,56.0,86.7,78.5
STU20245087,男,商学院,69.9,93.5,72.6,84.1
